2013-04-18 00:00:16,798 [13] INFO  umbraco.BusinessLogic.Log - [Thread 27] Log scrubbed.  Removed all items older than 2013-02-17 00:00:16
2013-04-18 00:00:16,799 [13] INFO  Umbraco.Core.UmbracoApplicationBase - [Thread 27] Application shutdown. Reason: BinDirChangeOrDirectoryRename
2013-04-18 00:00:21,970 [50] INFO  Umbraco.Core.CoreBootManager - [Thread 5] Umbraco application starting
2013-04-18 00:00:22,003 [50] INFO  Umbraco.Core.PluginManager - [Thread 5] Determining hash of code files on disk
2013-04-18 00:00:22,014 [50] INFO  Umbraco.Core.PluginManager - [Thread 5] Hash determined (took 10ms)
2013-04-18 00:00:22,147 [50] INFO  Umbraco.Core.PluginManager - [Thread 5] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 19 (took 120ms)
2013-04-18 00:00:22,172 [50] INFO  Umbraco.Core.PluginManager - [Thread 5] Completed resolution of types of Umbraco.Core.Models.IMacroPropertyType, found 0 (took 4ms)
2013-04-18 00:00:22,177 [50] INFO  Umbraco.Core.PluginManager - [Thread 5] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 4ms)
2013-04-18 00:00:22,182 [50] INFO  Umbraco.Core.PluginManager - [Thread 5] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 1 (took 3ms)
2013-04-18 00:00:22,190 [50] INFO  Umbraco.Core.PluginManager - [Thread 5] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 3ms)
2013-04-18 00:00:22,194 [50] INFO  Umbraco.Core.PluginManager - [Thread 5] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 3ms)
2013-04-18 00:00:22,301 [50] INFO  Umbraco.Core.CoreBootManager - [Thread 5] Umbraco application startup complete (took 321ms)
2013-04-18 00:00:22,494 [50] INFO  Umbraco.Core.PluginManager - [Thread 5] Completed resolution of types of umbraco.interfaces.IApplication, found 7 (took 7ms)
